network,country_name,country_name
185.12.172.0/22,Asia,Saudi Arabia
185.14.196.0/22,Asia,Saudi Arabia
185.20.72.0/22,Asia,Saudi Arabia
185.20.152.0/22,Asia,Saudi Arabia
185.23.76.0/22,Asia,Saudi Arabia
185.23.124.0/22,Asia,Saudi Arabia
185.26.84.0/22,Asia,Saudi Arabia
185.27.220.0/22,Asia,Saudi Arabia
185.29.92.0/22,Asia,Saudi Arabia
185.30.148.0/22,Asia,Saudi Arabia
185.33.172.0/22,Asia,Saudi Arabia
185.39.36.0/22,Asia,Saudi Arabia
185.39.136.0/22,Asia,Saudi Arabia
185.41.88.0/22,Asia,Saudi Arabia
185.51.0.0/22,Asia,Saudi Arabia
185.51.32.0/22,Asia,Saudi Arabia
185.51.144.0/22,Asia,Saudi Arabia
185.51.204.0/22,Asia,Saudi Arabia
185.53.244.0/22,Asia,Saudi Arabia
185.56.196.0/22,Asia,Saudi Arabia
185.58.140.0/22,Asia,Saudi Arabia
185.59.188.0/22,Asia,Saudi Arabia
185.62.176.0/22,Asia,Saudi Arabia
185.63.232.0/22,Asia,Saudi Arabia
185.75.16.0/22,Asia,Saudi Arabia
185.79.248.0/22,Asia,Saudi Arabia
185.82.116.0/22,Asia,Saudi Arabia
185.84.164.0/22,Asia,Saudi Arabia
185.90.16.0/22,Asia,Saudi Arabia
185.90.88.0/22,Asia,Saudi Arabia
188.48.0.0/13,Asia,Saudi Arabia
188.95.160.0/21,Asia,Saudi Arabia
188.117.64.0/18,Asia,Saudi Arabia
188.132.0.0/17,Asia,Saudi Arabia
188.139.0.0/17,Asia,Saudi Arabia
188.248.0.0/15,Asia,Saudi Arabia
192.162.72.0/22,Asia,Saudi Arabia
192.251.61.0/24,Asia,Saudi Arabia
192.251.62.0/23,Asia,Saudi Arabia
192.251.64.0/23,Asia,Saudi Arabia
193.8.250.0/24,Asia,Saudi Arabia
193.19.90.0/23,Asia,Saudi Arabia
193.22.249.0/24,Asia,Saudi Arabia
193.23.180.0/24,Asia,Saudi Arabia
193.27.7.0/24,Asia,Saudi Arabia
193.28.9.0/24,Asia,Saudi Arabia
193.28.10.0/24,Asia,Saudi Arabia
193.28.94.0/24,Asia,Saudi Arabia
193.29.50.0/24,Asia,Saudi Arabia
193.37.143.0/24,Asia,Saudi Arabia
193.42.220.0/24,Asia,Saudi Arabia
193.47.102.0/24,Asia,Saudi Arabia
193.104.40.0/24,Asia,Saudi Arabia
193.104.204.0/24,Asia,Saudi Arabia
193.105.89.0/24,Asia,Saudi Arabia
193.105.119.0/24,Asia,Saudi Arabia
193.109.81.0/24,Asia,Saudi Arabia
193.109.218.0/24,Asia,Saudi Arabia
193.142.222.0/24,Asia,Saudi Arabia
193.169.190.0/23,Asia,Saudi Arabia
193.188.14.0/24,Asia,Saudi Arabia
193.194.122.0/24,Asia,Saudi Arabia
193.200.247.0/24,Asia,Saudi Arabia
193.227.127.0/24,Asia,Saudi Arabia
194.0.15.0/24,Asia,Saudi Arabia
194.33.68.0/24,Asia,Saudi Arabia
194.33.70.0/23,Asia,Saudi Arabia
194.36.164.0/24,Asia,Saudi Arabia
194.50.35.0/24,Asia,Saudi Arabia
194.126.231.0/24,Asia,Saudi Arabia
195.3.172.0/22,Asia,Saudi Arabia
195.10.197.0/24,Asia,Saudi Arabia
195.14.19.0/24,Asia,Saudi Arabia
195.34.68.0/23,Asia,Saudi Arabia
195.43.137.0/24,Asia,Saudi Arabia
195.47.234.0/24,Asia,Saudi Arabia
195.66.100.0/24,Asia,Saudi Arabia
195.66.128.0/23,Asia,Saudi Arabia
195.85.224.0/24,Asia,Saudi Arabia
195.88.244.0/23,Asia,Saudi Arabia
195.114.106.0/23,Asia,Saudi Arabia
195.128.131.0/24,Asia,Saudi Arabia
195.134.184.0/21,Asia,Saudi Arabia
195.149.65.0/24,Asia,Saudi Arabia
195.149.91.0/24,Asia,Saudi Arabia
